Car_Id;SerialNumber;Brand;Model;Sold_Price;Driven_KM;Type;EngineV;FuelType;Safety_Features;Region;Year;Transmission;Condition;Color;Entertainment_Features;Unnamed: 16;Accident_History;Transmission.1;Condition_Score;Car_Age
32;505TUN25855;Toyota;Corolla;50654;203949;Hatchback;3.0;Electric;Lane Assist, Blind Spot Monitor;Kairouan;2021;Automatic;Good;Red;Apple CarPlay, Android Auto;;No;Automatic;2;4
33;211TUN46221;Kia;Picanto;55848;30752;Coupe;3.8;Hybrid;Blind Spot Monitor;Sousse;2017;Manual;Good;Red;Navigation;;No;Manual;2;8
34;693TUN61242;Volkswagen;Passat;41597;254894;Coupe;4.8;Hybrid;ABS;Tataouine;2012;Manual;Good;White;Navigation;;Yes;Manual;2;13
35;335TUN25154;Toyota;Corolla;35761;35217;Sedan;1.9;Hybrid;Blind Spot Monitor, ESP, Airbags;Bizerte;2000;Automatic;Excellent;Blue;Apple CarPlay, Android Auto;;No;Automatic;3;25
36;166TUN43949;Hyundai;Tucson;52363;152309;Sedan;2.4;Electric;Traction Control, ESP, Airbags;Bizerte;2023;Automatic;Excellent;Gray;Bluetooth, USB Ports, Radio;;No;Automatic;3;2
37;934TUN64944;Mercedes;A-Class;29507;282032;Coupe;2.8;Petrol;Blind Spot Monitor, ESP, Traction Control;Tozeur;2006;Manual;Good;White;Android Auto, Bluetooth;;No;Manual;2;19
38;127TUN56925;Ford;Transit;26934;212119;Sedan;2.5;Electric;Airbags, ABS, ESP;Nabeul;2001;Manual;Excellent;White;Apple CarPlay;;No;Manual;3;24
39;115TUN10211;Toyota;Camry;46548;190459;Coupe;1.8;Electric;ABS, Lane Assist, Blind Spot Monitor;Tozeur;2023;Manual;Good;Gray;Bluetooth, Navigation;;Yes;Manual;2;2
41;840TUN86970;Mercedes;Sprinter;43639;100154;Hatchback;2.15;Diesel;ABS;Monastir;2011;Manual;Excellent;Blue;Apple CarPlay, Android Auto;;No;Manual;3;14
42;392TUN98459;Toyota;Hilux;34300;238762;Coupe;5.5;Hybrid;ABS;Kairouan;2002;Manual;Average;Black;Android Auto, Apple CarPlay;;Yes;Manual;1;23
43;934TUN64405;Renault;Kadjar;41371;264007;Coupe;2.8;Hybrid;ESP, Traction Control;GabÃ¨s;2017;Manual;Good;Blue;Apple CarPlay, Bluetooth, Android Auto;;Yes;Manual;2;8
44;856TUN66513;Peugeot;208;29544;178792;Sedan;2.2;Petrol;Traction Control, ESP, Lane Assist;GabÃ¨s;2001;Automatic;Excellent;Gray;Radio, USB Ports, Navigation;;Yes;Automatic;3;24
45;529TUN73246;Ford;Ranger;38626;145441;Coupe;2.4;Electric;ABS;Nabeul;2012;Manual;Average;Gray;Apple CarPlay, Bluetooth;;Yes;Manual;1;13
46;855TUN67657;Kia;Picanto;31203;246366;SUV;3.0;Diesel;Lane Assist;GabÃ¨s;2005;Manual;Excellent;Blue;USB Ports, Navigation, Apple CarPlay;;Yes;Manual;3;20
47;486TUN98083;Ford;Kuga;42824;133106;Coupe;2.4;Diesel;Traction Control, Lane Assist;GabÃ¨s;2016;Manual;Average;Gray;Navigation, Radio, Bluetooth;;No;Manual;1;9
48;694TUN66453;Toyota;Corolla;41490;290970;Pickup;2.5;Hybrid;Traction Control, Lane Assist;Tozeur;2022;Automatic;Average;White;Apple CarPlay, Navigation;;Yes;Automatic;1;3
49;680TUN31184;BMW;3 Series;34323;254681;Hatchback;5.0;Hybrid;Lane Assist, Traction Control, Blind Spot Monitor;Tataouine;2000;Manual;Excellent;Gray;Bluetooth, Radio, Navigation;;Yes;Manual;3;25
50;512TUN53373;Kia;Rio;50063;13607;Pickup;2.8;Electric;Blind Spot Monitor;Sfax;2013;Automatic;Good;Red;USB Ports;;Yes;Automatic;2;12
51;861TUN14419;Kia;Cerato;40637;283980;Pickup;3.2;Petrol;ABS;Sousse;2016;Automatic;Excellent;Red;Navigation;;Yes;Automatic;3;9
52;263TUN11608;Peugeot;3008;32312;150227;Pickup;1.5;Electric;Traction Control, Lane Assist;Bizerte;2004;Automatic;Excellent;Black;Android Auto, Radio, Navigation;;Yes;Automatic;3;21
53;874TUN17339;BMW;5 Series;47930;63698;Hatchback;3.5;Electric;ESP;Tunis;2010;Automatic;Excellent;Red;Apple CarPlay, Android Auto;;Yes;Automatic;3;15
54;517TUN66094;BMW;X1;55574;94977;SUV;5.0;Hybrid;Lane Assist, Traction Control, Airbags;GabÃ¨s;2017;Manual;Good;Blue;Navigation, Android Auto, Radio;;Yes;Manual;2;8
55;568TUN46176;Toyota;Rav4;41441;255405;Sedan;2.2;Diesel;ESP, Airbags, Lane Assist;Nabeul;2018;Manual;Good;Black;Android Auto, Radio, Apple CarPlay;;Yes;Manual;2;7
56;478TUN87488;Kia;Sportage;31010;180416;Pickup;3.0;Diesel;ESP, ABS;GabÃ¨s;2003;Manual;Average;Blue;Navigation, Android Auto, Bluetooth;;No;Manual;1;22
58;735TUN90869;Peugeot;2008;47899;120641;Sedan;2.0;Hybrid;Lane Assist, Traction Control;Tataouine;2020;Automatic;Average;Blue;Android Auto, Apple CarPlay;;Yes;Automatic;1;5
59;586TUN30828;Mercedes;E-Class;48962;231959;Sedan;4.8;Electric;ABS, Blind Spot Monitor;Sfax;2016;Automatic;Excellent;Black;Bluetooth;;Yes;Automatic;3;9
60;798TUN96662;Renault;Symbol;37205;49712;Hatchback;3.0;Petrol;Lane Assist;Monastir;2002;Manual;Good;White;Bluetooth, USB Ports;;No;Manual;2;23
61;765TUN77135;Renault;Megane;30707;240470;Hatchback;1.8;Electric;ABS;Tozeur;2006;Manual;Excellent;White;USB Ports, Android Auto;;Yes;Manual;3;19
62;244TUN43541;CitroÃ«n;C3;40274;28027;Pickup;1.9;Hybrid;Blind Spot Monitor;Nabeul;2008;Automatic;Average;White;Radio, Android Auto, Bluetooth;;No;Automatic;1;17
63;496TUN23552;Ford;Kuga;51314;288124;Hatchback;4.4;Electric;Airbags, Lane Assist;Nabeul;2022;Manual;Excellent;Red;USB Ports, Radio, Apple CarPlay;;Yes;Manual;3;3
64;876TUN70318;Volkswagen;Passat;26176;280752;Coupe;1.8;Diesel;ESP;Kairouan;2008;Manual;Average;Blue;Android Auto, Apple CarPlay, Navigation;;No;Manual;1;17
65;145TUN71339;CitroÃ«n;C3;47897;29925;Hatchback;3.5;Hybrid;Lane Assist, ABS;Bizerte;2009;Manual;Excellent;Blue;Radio, USB Ports, Android Auto;;Yes;Manual;3;16
66;802TUN65675;Renault;Megane;41023;215597;Hatchback;2.0;Petrol;ESP;Sousse;2020;Automatic;Average;White;Apple CarPlay, USB Ports;;Yes;Automatic;1;5
67;266TUN69581;BMW;7 Series;35064;66952;Coupe;2.2;Electric;ESP;Nabeul;2002;Manual;Good;Black;Navigation, Bluetooth, Android Auto;;No;Manual;2;23
68;876TUN22611;Renault;Clio;40505;177011;Coupe;3.0;Electric;Airbags, Traction Control;Bizerte;2012;Automatic;Average;Red;Android Auto, Radio;;Yes;Automatic;1;13
69;787TUN94634;CitroÃ«n;C5;24468;285190;Pickup;1.6;Petrol;ABS, Blind Spot Monitor, Traction Control;Kairouan;2003;Automatic;Excellent;White;USB Ports, Radio, Apple CarPlay;;No;Automatic;3;22
70;949TUN32082;Hyundai;i10;29461;204839;Coupe;1.9;Diesel;Lane Assist, Traction Control;Tunis;2006;Manual;Average;Blue;Android Auto, Radio, Apple CarPlay;;Yes;Manual;1;19
71;758TUN27553;CitroÃ«n;C5;44940;178430;Pickup;2.5;Hybrid;Airbags;Sousse;2019;Manual;Average;Gray;Navigation, Android Auto;;Yes;Manual;1;6
72;493TUN87566;Renault;Kadjar;35479;249504;Sedan;2.2;Hybrid;Airbags, Blind Spot Monitor, ABS;Sfax;2015;Manual;Average;Blue;Radio, Android Auto, Bluetooth;;No;Manual;1;10
73;525TUN92243;Ford;Ranger;38976;207702;Sedan;2.0;Electric;ABS, ESP, Airbags;GabÃ¨s;2016;Automatic;Average;White;Navigation;;No;Automatic;1;9
74;342TUN48738;BMW;3 Series;28750;203741;Pickup;1.8;Electric;Blind Spot Monitor, Lane Assist;Sfax;2001;Manual;Excellent;Blue;Radio, USB Ports, Android Auto;;Yes;Manual;3;24
75;141TUN72954;Hyundai;Tucson;45902;21242;Coupe;3.0;Hybrid;ABS, Airbags;Nabeul;2011;Manual;Average;Red;USB Ports, Android Auto;;Yes;Manual;1;14
76;262TUN74277;Hyundai;Elantra;34766;103955;SUV;1.8;Petrol;ABS;Tunis;2006;Manual;Average;Blue;Bluetooth;;No;Manual;1;19
77;684TUN46935;CitroÃ«n;Jumpy;39297;235657;Coupe;1.9;Petrol;Lane Assist;Monastir;2017;Manual;Excellent;Red;Bluetooth;;No;Manual;3;8
78;829TUN78127;Mercedes;A-Class;40148;113463;SUV;2.0;Electric;Traction Control, Blind Spot Monitor;Tataouine;2012;Manual;Average;Gray;Android Auto, Bluetooth, Radio;;No;Manual;1;13
79;931TUN32607;Mercedes;A-Class;32822;85300;Pickup;2.0;Petrol;Traction Control, Blind Spot Monitor, ABS;Tozeur;2004;Automatic;Average;Blue;Android Auto, USB Ports, Apple CarPlay;;Yes;Automatic;1;21
80;832TUN97366;Toyota;Corolla;38638;241256;Pickup;4.0;Hybrid;ABS;Sousse;2008;Manual;Excellent;Red;Bluetooth, USB Ports;;Yes;Manual;3;17
81;349TUN45359;Volkswagen;Jetta;49861;136608;Sedan;2.2;Hybrid;Airbags;Tunis;2023;Manual;Average;White;Navigation, Apple CarPlay, USB Ports;;No;Manual;1;2
82;346TUN99287;CitroÃ«n;C3;53215;31932;Sedan;1.6;Diesel;Lane Assist;Nabeul;2023;Manual;Good;Black;Bluetooth, USB Ports;;No;Manual;2;2
83;302TUN74910;Renault;Megane;44052;244549;SUV;2.5;Diesel;ABS, Lane Assist, Traction Control;Sousse;2022;Manual;Average;White;Navigation;;No;Manual;1;3
84;815TUN18168;Kia;Sportage;36520;160742;Pickup;1.4;Petrol;Airbags, ESP, ABS;GabÃ¨s;2011;Automatic;Good;Red;Apple CarPlay, Radio;;No;Automatic;2;14
85;749TUN34565;Hyundai;Elantra;26619;287175;Hatchback;2.5;Hybrid;ABS, Traction Control, Blind Spot Monitor;Sousse;2005;Automatic;Average;Black;Navigation;;No;Automatic;1;20
86;472TUN16457;Peugeot;3008;39150;156622;Hatchback;1.5;Petrol;Lane Assist, Blind Spot Monitor;Tozeur;2016;Manual;Average;White;Bluetooth, Apple CarPlay, Radio;;No;Manual;1;9
87;780TUN41602;CitroÃ«n;C4;37602;41782;Hatchback;1.5;Diesel;Lane Assist, Traction Control, Airbags;Sousse;2007;Automatic;Good;Red;Apple CarPlay;;No;Automatic;2;18
88;830TUN75976;Peugeot;Partner;34380;62347;SUV;3.0;Diesel;Traction Control, Airbags;Sfax;2000;Automatic;Good;Red;USB Ports, Bluetooth;;Yes;Automatic;2;25
89;379TUN79096;BMW;X1;32754;103214;Coupe;2.0;Electric;ESP, Traction Control;Tozeur;2004;Automatic;Average;Black;Bluetooth;;No;Automatic;1;21
90;137TUN92472;Renault;Kadjar;32402;210516;Hatchback;3.2;Diesel;Airbags, ESP, Lane Assist;Sfax;2004;Manual;Good;Black;USB Ports, Apple CarPlay;;No;Manual;2;21
91;281TUN26671;Peugeot;2008;40035;76703;Hatchback;3.8;Petrol;Traction Control;Tataouine;2006;Automatic;Average;Gray;Android Auto, Navigation, Radio;;No;Automatic;1;19
92;158TUN96425;Renault;Symbol;44312;264016;Sedan;3.0;Diesel;ESP, Traction Control;Nabeul;2019;Manual;Good;Blue;Navigation;;No;Manual;2;6
93;249TUN71740;Ford;Transit;54614;231652;Sedan;4.7;Petrol;Traction Control, ESP, ABS;GabÃ¨s;2023;Automatic;Good;Blue;Android Auto;;Yes;Automatic;2;2
94;155TUN63819;Toyota;Rav4;56801;33343;Coupe;2.5;Petrol;ESP, Airbags;Sfax;2019;Automatic;Excellent;Blue;Radio, Navigation;;Yes;Automatic;3;6
95;641TUN70534;BMW;7 Series;28067;174604;Sedan;1.5;Hybrid;ABS, Traction Control;GabÃ¨s;2002;Manual;Excellent;Red;Apple CarPlay, Radio, USB Ports;;No;Manual;3;23
96;190TUN26445;Hyundai;Accent;32387;185706;SUV;2.0;Petrol;ESP;Sfax;2007;Automatic;Good;Gray;Apple CarPlay;;Yes;Automatic;2;18
97;605TUN52052;Peugeot;3008;35004;142068;Hatchback;1.5;Electric;Blind Spot Monitor, ABS, Lane Assist;Sousse;2007;Manual;Excellent;White;Bluetooth, Radio, Android Auto;;Yes;Manual;3;18
98;815TUN14918;Ford;Transit;56613;38464;SUV;2.0;Diesel;Lane Assist, ESP, Airbags;Monastir;2023;Manual;Excellent;Red;Apple CarPlay, Bluetooth, Radio;;Yes;Manual;3;2
99;399TUN12152;CitroÃ«n;C4;34480;126308;SUV;2.5;Hybrid;ESP, Traction Control;Tataouine;2006;Manual;Average;Blue;Apple CarPlay, Navigation;;No;Manual;1;19
100;578TUN19526;Mercedes;E-Class;37988;65448;SUV;2.0;Petrol;ESP, Blind Spot Monitor, Lane Assist;Bizerte;2006;Automatic;Good;Red;USB Ports;;No;Automatic;2;19
101;271TUN98174;Toyota;Rav4;35619;277709;Sedan;1.5;Electric;Blind Spot Monitor, Airbags, ABS;Tunis;2016;Automatic;Good;Blue;USB Ports, Radio;;No;Automatic;2;9
102;426TUN48475;Hyundai;Elantra;35705;15194;Pickup;1.9;Diesel;Traction Control, Airbags;Kairouan;2002;Manual;Good;White;Bluetooth, Apple CarPlay, USB Ports;;Yes;Manual;2;23
103;295TUN57602;Mercedes;GLC;30052;180648;Coupe;1.5;Hybrid;Blind Spot Monitor, ABS, ESP;Tunis;2005;Manual;Excellent;White;Bluetooth, USB Ports, Apple CarPlay;;Yes;Manual;3;20
104;149TUN15761;Peugeot;3008;38549;84604;Pickup;2.4;Diesel;Traction Control;Tataouine;2009;Manual;Average;Gray;Android Auto, Bluetooth, USB Ports;;Yes;Manual;1;16
105;921TUN19920;Hyundai;i10;43053;250871;Hatchback;2.98;Petrol;Airbags, Traction Control;Monastir;2018;Automatic;Good;Black;Android Auto, Navigation, Bluetooth;;No;Automatic;2;7
106;368TUN21537;Hyundai;Elantra;40241;59123;Pickup;2.0;Hybrid;Lane Assist, ESP, Airbags;Bizerte;2009;Automatic;Good;Gray;Android Auto, Navigation, Bluetooth;;Yes;Automatic;2;16
107;342TUN77766;Kia;Sorento;47984;125075;Pickup;1.8;Hybrid;Blind Spot Monitor, ABS;Monastir;2020;Manual;Good;Black;Android Auto, Radio;;Yes;Manual;2;5
108;962TUN39381;Peugeot;308;40639;277290;Coupe;4.7;Hybrid;Lane Assist, ESP;Kairouan;2009;Manual;Excellent;Black;Apple CarPlay, Android Auto;;Yes;Manual;3;16
109;480TUN97730;Hyundai;i10;26723;159261;SUV;1.6;Petrol;Traction Control;Bizerte;2001;Manual;Average;Black;USB Ports;;Yes;Manual;1;24
110;195TUN35161;Ford;Focus;34847;170533;Sedan;4.4;Hybrid;Lane Assist, ABS;Tunis;2001;Automatic;Good;Black;Android Auto, Navigation, USB Ports;;No;Automatic;2;24
111;513TUN58232;Mercedes;A-Class;40298;99185;Hatchback;2.0;Diesel;ESP, ABS;Bizerte;2012;Manual;Average;White;USB Ports, Radio;;Yes;Manual;1;13
112;967TUN22716;Volkswagen;Polo;46113;156234;Sedan;2.0;Electric;ESP;Nabeul;2019;Manual;Good;Black;Bluetooth, Android Auto;;No;Manual;2;6
113;245TUN81387;Mercedes;A-Class;26884;225925;Pickup;2.7;Petrol;Lane Assist, Airbags, Traction Control;Tunis;2001;Manual;Excellent;Red;Bluetooth;;Yes;Manual;3;24
114;777TUN99664;Toyota;Yaris;29728;54899;Coupe;1.5;Diesel;ABS;Tunis;2001;Manual;Average;Blue;Navigation, Apple CarPlay, USB Ports;;Yes;Manual;1;24
115;174TUN65324;Kia;Cerato;47984;225517;Pickup;2.4;Hybrid;Lane Assist, ABS, ESP;Nabeul;2021;Automatic;Excellent;Gray;Android Auto, Apple CarPlay;;No;Automatic;3;4
116;534TUN54444;Toyota;Hilux;40861;82026;Sedan;1.5;Hybrid;Traction Control;Tunis;2011;Manual;Average;Black;USB Ports;;Yes;Manual;1;14
117;920TUN98299;Ford;Kuga;48731;181531;SUV;2.0;Hybrid;ESP, Airbags, Lane Assist;Bizerte;2023;Automatic;Good;Red;Android Auto, Bluetooth;;Yes;Automatic;2;2
118;721TUN91792;Volkswagen;Golf;46838;175263;Sedan;1.1;Electric;Airbags;Tunis;2021;Automatic;Excellent;White;Bluetooth;;No;Automatic;3;4
120;684TUN20199;Renault;Kadjar;50484;69611;Coupe;2.0;Electric;Blind Spot Monitor, Airbags, ABS;Sousse;2017;Automatic;Excellent;Black;Navigation;;Yes;Automatic;3;8
121;983TUN44239;Ford;Focus;46412;136376;Coupe;1.8;Electric;ESP;Bizerte;2022;Automatic;Average;Black;Radio, Apple CarPlay;;No;Automatic;1;3
122;317TUN87479;Peugeot;2008;53774;251360;SUV;4.4;Diesel;Lane Assist, Airbags, ESP;Monastir;2023;Automatic;Good;Red;Android Auto;;No;Automatic;2;2
123;283TUN50961;Hyundai;Accent;48474;285555;SUV;3.0;Hybrid;Lane Assist, Traction Control, ESP;Nabeul;2022;Manual;Excellent;Gray;Bluetooth, Apple CarPlay, Navigation;;Yes;Manual;3;3
124;864TUN26609;Toyota;Yaris;42742;110975;SUV;1.5;Hybrid;Blind Spot Monitor, Lane Assist, Airbags;Sousse;2014;Automatic;Good;Blue;Bluetooth, Radio;;Yes;Automatic;2;11
125;285TUN37690;Toyota;Corolla;56928;63237;Coupe;3.0;Petrol;Traction Control;GabÃ¨s;2023;Automatic;Good;White;USB Ports, Radio;;Yes;Automatic;2;2
126;996TUN68352;Toyota;Camry;25028;243479;SUV;1.6;Electric;ABS;Nabeul;2004;Automatic;Average;White;Android Auto, Apple CarPlay;;Yes;Automatic;1;21
127;705TUN14989;Volkswagen;Jetta;55747;97017;SUV;4.0;Hybrid;ABS, Lane Assist;GabÃ¨s;2019;Manual;Excellent;White;Bluetooth, Apple CarPlay;;No;Manual;3;6
128;712TUN10663;BMW;3 Series;23937;252992;Sedan;2.0;Diesel;ESP, Lane Assist;Bizerte;2003;Manual;Average;Gray;Apple CarPlay, Radio, Navigation;;Yes;Manual;1;22
129;911TUN74261;BMW;X3;34462;284559;Hatchback;1.5;Hybrid;ESP;Tozeur;2013;Automatic;Good;Blue;Navigation, Bluetooth, Android Auto;;Yes;Automatic;2;12
130;111TUN96293;CitroÃ«n;Jumpy;40337;243434;SUV;2.5;Hybrid;Blind Spot Monitor, ESP;Sfax;2015;Automatic;Excellent;Blue;USB Ports;;No;Automatic;3;10
131;686TUN53337;Volkswagen;Passat;56513;48412;Pickup;2.5;Electric;Traction Control, Blind Spot Monitor;Tozeur;2023;Manual;Good;White;Android Auto, Bluetooth;;Yes;Manual;2;2
132;903TUN34358;BMW;X1;39531;261360;Hatchback;4.5;Petrol;Blind Spot Monitor;Sfax;2012;Manual;Average;Gray;Radio;;No;Manual;1;13
133;745TUN43135;Mercedes;GLC;31546;138996;Coupe;2.0;Petrol;Airbags, Traction Control;GabÃ¨s;2004;Automatic;Good;Red;Navigation, Apple CarPlay;;Yes;Automatic;2;21
134;177TUN76391;Peugeot;308;44484;19297;SUV;2.0;Petrol;ESP, Traction Control;Tataouine;2012;Manual;Good;Gray;Apple CarPlay, Radio, Android Auto;;Yes;Manual;2;13
135;494TUN57841;Hyundai;Elantra;33329;254776;Hatchback;5.0;Diesel;ABS;GabÃ¨s;2002;Automatic;Good;Blue;Bluetooth, Radio;;No;Automatic;2;23
136;582TUN10466;Peugeot;2008;35443;261890;SUV;2.2;Diesel;Lane Assist, Airbags;Tozeur;2016;Manual;Average;White;Radio;;No;Manual;1;9
137;698TUN63052;Ford;Focus;37514;141183;SUV;2.7;Diesel;Airbags, Traction Control, Blind Spot Monitor;GabÃ¨s;2007;Manual;Good;Gray;USB Ports, Android Auto;;No;Manual;2;18
138;898TUN99046;CitroÃ«n;C4;39505;199511;Sedan;4.8;Hybrid;Blind Spot Monitor, ABS, Traction Control;Sfax;2009;Manual;Average;Black;USB Ports, Navigation;;Yes;Manual;1;16
139;339TUN86928;Renault;Megane;48423;122533;Coupe;2.0;Hybrid;ABS;Sousse;2020;Automatic;Average;Blue;Navigation;;No;Automatic;1;5
140;710TUN27915;Renault;Kadjar;33450;155334;Pickup;3.0;Petrol;ABS, Airbags, Traction Control;Tunis;2006;Automatic;Average;Black;Apple CarPlay, Android Auto, USB Ports;;No;Automatic;1;19
141;706TUN42245;BMW;7 Series;43256;120423;Coupe;2.2;Petrol;Airbags, ESP, Traction Control;Sousse;2016;Automatic;Average;White;Apple CarPlay, USB Ports;;Yes;Automatic;1;9
142;127TUN77296;Renault;Symbol;26637;139523;Sedan;1.6;Electric;Blind Spot Monitor;Bizerte;2001;Manual;Average;Gray;Android Auto, Radio, Apple CarPlay;;No;Manual;1;24
143;959TUN97004;Hyundai;Tucson;35822;230935;Coupe;2.2;Electric;Blind Spot Monitor, Traction Control;Monastir;2011;Automatic;Excellent;Blue;Radio;;No;Automatic;3;14
144;339TUN34272;CitroÃ«n;C5;31942;205693;Coupe;2.0;Petrol;Airbags, Lane Assist;Sfax;2009;Automatic;Average;Blue;Apple CarPlay, Android Auto;;Yes;Automatic;1;16
145;123TUN28546;Ford;Fiesta;55656;113015;Pickup;4.0;Hybrid;Lane Assist, Traction Control, Blind Spot Monitor;Tozeur;2019;Manual;Good;Red;Radio, Apple CarPlay, Bluetooth;;Yes;Manual;2;6
